Date,Open Price,High Price,Low Price,Close Price,Adj Close Price,Volume
4/16/2015,126.279999,127.099998,126.110001,126.169998,115.795677,28369000
4/17/2015,125.550003,126.139999,124.459999,124.75,114.492439,51957000
4/20/2015,125.57,128.119995,125.169998,127.599998,117.108101,47054300
4/21/2015,128.100006,128.199997,126.669998,126.910004,116.474838,32435100
4/22/2015,126.989998,128.869995,126.32,128.619995,118.044243,37654500
4/23/2015,128.300003,130.419998,128.139999,129.669998,119.007912,45770900
4/24/2015,130.490005,130.630005,129.229996,130.279999,119.567741,44525900
4/27/2015,132.309998,133.130005,131.149994,132.649994,121.742836,96954200
4/28/2015,134.460007,134.539993,129.570007,130.559998,119.824707,118924000
4/29/2015,130.160004,131.589996,128.300003,128.639999,118.062592,63386100
4/30/2015,128.639999,128.639999,124.580002,125.150002,114.859558,83195400
5/1/2015,126.099998,130.130005,125.300003,128.949997,118.347084,58512600
5/4/2015,129.5,130.570007,128.259995,128.699997,118.117645,50988300
5/5/2015,128.149994,128.449997,125.779999,125.800003,115.456108,49271400
5/6/2015,126.559998,126.75,123.360001,125.010002,114.731071,72141000
5/7/2015,124.769997,126.080002,124.019997,125.260002,115.440712,43940900
5/8/2015,126.68,127.620003,126.110001,127.620003,117.615707,55550400
5/11/2015,127.389999,127.559998,125.629997,126.32,116.417625,42035800
5/12/2015,125.599998,126.879997,124.82,125.870003,116.002884,48160000
5/13/2015,126.150002,127.190002,125.870003,126.010002,116.131927,34694200
5/14/2015,127.410004,128.949997,127.160004,128.949997,118.841446,45203500
5/15/2015,129.070007,129.490005,128.210007,128.770004,118.675552,38208000
5/18/2015,128.380005,130.720001,128.360001,130.190002,119.984222,50882900
5/19/2015,130.690002,130.880005,129.639999,130.070007,119.873642,44633200
5/20/2015,130,130.979996,129.339996,130.059998,119.864433,36454900
5/21/2015,130.070007,131.630005,129.830002,131.389999,121.090179,39730400
5/22/2015,131.600006,132.970001,131.399994,132.539993,122.150032,45596000
5/26/2015,132.600006,132.910004,129.119995,129.619995,119.458923,70697600
5/27/2015,130.339996,132.259995,130.050003,132.039993,121.689232,45833200
5/28/2015,131.860001,131.949997,131.100006,131.779999,121.449577,30733300
5/29/2015,131.229996,131.449997,129.899994,130.279999,120.067184,50884500
6/1/2015,130.279999,131.389999,130.050003,130.539993,120.306801,32112800
6/2/2015,129.860001,130.660004,129.320007,129.960007,119.772255,33667600
6/3/2015,130.660004,130.940002,129.899994,130.119995,119.919716,30983500
6/4/2015,129.580002,130.580002,128.910004,129.360001,119.219307,38450100
6/5/2015,129.5,129.690002,128.360001,128.649994,118.564957,35626800
6/8/2015,128.899994,129.210007,126.830002,127.800003,117.781601,52674800
6/9/2015,126.699997,128.080002,125.620003,127.419998,117.431381,56075400
6/10/2015,127.919998,129.339996,127.849998,128.880005,118.776917,39087300
6/11/2015,129.179993,130.179993,128.479996,128.589996,118.509666,35390900
6/12/2015,128.190002,128.330002,127.110001,127.169998,117.200966,36886200
6/15/2015,126.099998,127.239998,125.709999,126.919998,116.970581,43988900
6/16/2015,127.029999,127.849998,126.370003,127.599998,117.597267,31494100
6/17/2015,127.720001,127.879997,126.739998,127.300003,117.320793,32918100
6/18/2015,127.230003,128.309998,127.220001,127.879997,117.855324,35407200
6/19/2015,127.709999,127.82,126.400002,126.599998,116.675667,54716900
6/22/2015,127.489998,128.059998,127.080002,127.610001,117.606491,34039300
6/23/2015,127.480003,127.610001,126.879997,127.029999,117.071945,30268900
